GeneID	Annotation
gene-SPN23F_RS01560	SPN23F_RS01560
cds-WP_000381739.1	WP_000381739.1
gene-SPN23F_RS01565	SPN23F_RS01565
cds-WP_000657078.1	WP_000657078.1
gene-SPN23F_RS01570	SPN23F_RS01570
cds-WP_000412453.1	WP_000412453.1
gene-SPN23F_RS01575	SPN23F_RS01575
cds-WP_000838117.1	WP_000838117.1
gene-SPN23F_RS01580	SPN23F_RS01580
cds-WP_000711739.1	WP_000711739.1
gene-SPN23F_RS01585	SPN23F_RS01585
cds-WP_001082474.1	WP_001082474.1
gene-SPN23F_RS01590	rsmH
cds-WP_000159418.1	WP_000159418.1
gene-SPN23F_RS01595	ftsL
cds-WP_000818547.1	WP_000818547.1
gene-SPN23F_RS01600	pbp2X
cds-WP_000872289.1	WP_000872289.1
gene-SPN23F_RS01605	mraY
cds-WP_000470846.1	WP_000470846.1
gene-SPN23F_RS01610	SPN23F_RS01610
cds-WP_001063398.1	WP_001063398.1
cds-SPN23F_RS01615	
gene-SPN23F_RS01620	SPN23F_RS01620
cds-WP_000032551.1	WP_000032551.1
gene-SPN23F_RS01625	SPN23F_RS01625
cds-WP_000743617.1	WP_000743617.1
gene-SPN23F_RS01630	SPN23F_RS01630
cds-WP_001156826.1	WP_001156826.1
gene-SPN23F_RS01635	SPN23F_RS01635
cds-WP_001022228.1	WP_001022228.1
cds-SPN23F_RS11870	
gene-SPN23F_RS01645	cps4A
cds-WP_000091067.1	WP_000091067.1
gene-SPN23F_RS01650	cps4B
cds-WP_000565369.1	WP_000565369.1
gene-SPN23F_RS01655	SPN23F_RS01655
cds-WP_000664144.1	WP_000664144.1
gene-SPN23F_RS01660	SPN23F_RS01660
cds-WP_001142541.1	WP_001142541.1
gene-SPN23F_RS01665	SPN23F_RS01665
cds-WP_001003129.1	WP_001003129.1
gene-SPN23F_RS01670	cps2T
cds-WP_000750326.1	WP_000750326.1
gene-SPN23F_RS01675	wzy
cds-WP_001814163.1	WP_001814163.1
gene-SPN23F_RS01680	SPN23F_RS01680
cds-WP_000413826.1	WP_000413826.1
gene-SPN23F_RS01685	SPN23F_RS01685
cds-WP_001045980.1	WP_001045980.1
gene-SPN23F_RS01690	SPN23F_RS01690
cds-WP_000049683.1	WP_000049683.1
gene-SPN23F_RS01695	SPN23F_RS01695
cds-WP_000636508.1	WP_000636508.1
gene-SPN23F_RS01700	SPN23F_RS01700
cds-WP_000794266.1	WP_000794266.1
gene-SPN23F_RS01705	SPN23F_RS01705
cds-WP_000645462.1	WP_000645462.1
gene-SPN23F_RS01710	SPN23F_RS01710
